Publication Year,Author,Title,Publication Title,DOI,image,geography_representation,node_representation,link_representation,composition,interactivity
2011,"Hadlak, S.; Schulz, H.; Schumann, H.",In Situ Exploration of Large Dynamic Networks,IEEE Transactions on Visualization and Computer Graphics,10.1109/TVCG.2011.213,hadlak2011,mapped,explicit,explicit,juxtaposed,required
2013,"Hennemann, Stefan",Information-rich visualisation of dense geographical networks,Journal of Maps,10.1080/17445647.2012.753850,hennemann2013,abstract,explicit,explicit,integrated,none
2009,"Holten, Danny; Wijk, Jarke J. Van",Force-Directed Edge Bundling for Graph Visualization,Computer Graphics Forum,10.1111/j.1467-8659.2009.01450.x,holten2009,mapped,explicit,aggregated,superimposed,none
2006,"Hong, Seok-Hee; Merrick, Damian; do Nascimento, Hugo A. D.",Automatic visualisation of metro maps,Journal of Visual Languages & Computing,10.1016/j.jvlc.2005.09.001,hong2006,distorted,explicit,explicit,superimposed,none
2018,"Hurter, Christophe; Puechmorel, Stéphane; Nicol, Florence; Telea, Alexandru",Functional Decomposition for Bundled Simplification of Trail Sets,IEEE Transactions on Visualization and Computer Graphics,10.1109/TVCG.2017.2744338,hurter2018,mapped,explicit,aggregated,superimposed,optional
2016,"Ibarra, J. C.; Triana, J. A.; Hernández, J. T.",Visualization of origin-destination matrices using a connection barchart and coordinated maps,2016 IEEE Pacific Visualization Symposium (PacificVis),10.1109/PACIFICVIS.2016.7465268,ibarra2016,mapped,explicit,explicit,juxtaposed,required
2017,"Jenny, Bernhard; Stephen, Daniel M.; Muehlenhaus, Ian; Marston, Brooke E.; Sharma, Ritesh; Zhang, Eugene; Jenny, Helen",Force-directed layout of origin-destination flow maps,International Journal of Geographical Information Science,10.1080/13658816.2017.1307378,jenny2017,mapped,explicit,explicit,superimposed,none
2005,"Kapler, Thomas; Wright, William",GeoTime Information Visualization,Information Visualization,10.1057/palgrave.ivs.9500097,kapler2005,mapped,explicit,explicit,superimposed,required
2016,"Kaya, Berkay; Balcisoy, Selim",Multi-Resolution Visualisation of Geographic Network Traffic,"Augmented Reality, Virtual Reality, and Computer Graphics",,kaya2016,mapped,explicit,explicit,superimposed,required
2012,"Kim, Kamyoung; Lee, Sang-Il; Shin, Jungyeop; Choi, Eunyoung",Developing a Flow Mapping Module in a GIS Environment,The Cartographic Journal,10.1179/174327711X13166800242356,kim2012,mapped,explicit,explicit,superimposed,none
2018,"Kim, Seokyeon; Jeong, Seongmin; Woo, Insoo; Jang, Yun; Maciejewski, Ross; Ebert, David S.",Data Flow Analysis and Visualization for Spatiotemporal Statistical Data without Trajectory Information,IEEE Transactions on Visualization and Computer Graphics,10.1109/TVCG.2017.2666146,kim2018,mapped,abstract,abstract,superimposed,none
2010,"Lambert, A.; Bourqui, R.; Auber, D.",Winding Roads: Routing edges into bundles,Computer Graphics Forum,10.1111/j.1467-8659.2009.01700.x,lambert2010a,mapped,explicit,aggregated,superimposed,none
2010,"Lambert, Antoine; Bourqui, Romain; Auber, David",3D Edge Bundling for Geographical Data Visualization,2010 14th International Conference Information Visualisation,10.1109/IV.2010.53,lambert2010b,mapped,explicit,aggregated,superimposed,required
2017,"Lhuillier, A.; Hurter, C.; Telea, A.",FFTEB: Edge bundling of huge graphs by the Fast Fourier Transform,2017 IEEE Pacific Visualization Symposium (PacificVis),10.1109/PACIFICVIS.2017.8031594,lhuillier2017,mapped,explicit,aggregated,superimposed,none
2017,"Li, Chenhui; Baciu, George; Wang, Yunzhe",Module-based visualization of large-scale graph network data,Journal of Visualization,10.1007/s12650-016-0375-5,li2017,mapped,aggregated,aggregated,superimposed,required
2015,"Lu, Min; Wang, Zuchao; Liang, Jie; Yuan, Xiaoru",OD-Wheel: Visual design to explore OD patterns of a central region,2015 IEEE Pacific Visualization Symposium (PacificVis),10.1109/PACIFICVIS.2015.7156361,lu2015,mapped,abstract,explicit,juxtaposed,required
2011,"Luo, Wei; MacEachren, Alan M.; Yin, Peifeng; Hardisty, Frank",Spatial-social Network Visualization for Exploratory Data Analysis,Proceedings of the 3rd ACM SIGSPATIAL International Workshop on Location-Based Social Networks,10.1145/2063212.2063216,luo2011,mapped,explicit,explicit,juxtaposed,required
2019,"Lyu, Yan; Liu, Xu; Chen, Hanyi; Mangal, Arpan; Liu, Kai; Chen, Chao; Lim, Brian",OD Morphing: Balancing Simplicity with Faithfulness for OD Bundling,IEEE Transactions on Visualization and Computer Graphics,10.1109/TVCG.2019.2934657,lyu2019,mapped,explicit,aggregated,superimposed,required
2006,"Merrick, Damian; Gudmundsson, Joachim",Increasing the Readability of Graph Drawings with Centrality-based Scaling,Proceedings of the 2006 Asia-Pacific Symposium on Information Visualisation - Volume 60,,merrick2006,distorted,explicit,explicit,superimposed,none
2009,"Moscovich, Tomer; Chevalier, Fanny; Henry, Nathalie; Pietriga, Emmanuel; Fekete, Jean-Daniel",Topology-aware Navigation in Large Networks,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,10.1145/1518701.1519056,moscovich2009,mapped,explicit,explicit,superimposed,interaction_technique
1996,"Munzner, T.; Hoffman, E.; Claffy, K.; Fenner, B.",Visualizing the global topology of the MBone,Proceedings IEEE Symposium on Information Visualization '96,10.1109/INFVIS.1996.559226,munzner1996,mapped,explicit,explicit,superimposed,required
2013,"Nocaj, Arlind; Brandes, Ulrik",Stub Bundling and Confluent Spirals for Geographic Networks,Graph Drawing,10.1007/978-3-319-03841-4_34,nocaj2013,mapped,explicit,aggregated,superimposed,none
2011,"Nöllenburg, M.; Wolff, A.",Drawing and Labeling High-Quality Metro Maps by Mixed-Integer Programming,IEEE Transactions on Visualization and Computer Graphics,10.1109/TVCG.2010.81,nollenburg2011,distorted,explicit,explicit,superimposed,none
2018,"Otten, Heike; Hildebrand, Lennart; Nagel, Till; Dörk, Marian; Müller, Boris",Shifted Maps: Revealing spatio-temporal topologies in movement data,,,otten2018,distorted,explicit,explicit,nested,optional
2012,"Peng, Dichao; Lu, Neng; Chen, Wei; Peng, Qunsheng",SideKnot: Revealing relation patterns for graph visualization,2012 IEEE Pacific Visualization Symposium,10.1109/PacificVis.2012.6183575,peng2012,mapped,explicit,explicit,superimposed,none
2015,"Peysakhovich, Vsevolod; Hurter, Christophe; Telea, Alexandru",Attribute-driven edge bundling for general graphs with applications in trail analysis,2015 IEEE Pacific Visualization Symposium (PacificVis),10.1109/PACIFICVIS.2015.7156354,peysakhovich2015,mapped,explicit,aggregated,superimposed,none
2009,"Rae, Alasdair",From spatial interaction data to spatial interaction information? Geovisualisation and spatial structures of migration from the 2001 UK census,"Computers, Environment and Urban Systems",10.1016/j.compenvurbsys.2009.01.007,rae2009,mapped,aggregated,aggregated,superimposed,none
2011,"Rae, Alasdair",Flow-Data Analysis with Geographical Information Systems: A Visual Approach,Environment and Planning B: Planning and Design,10.1068/b36126,rae2011,mapped,aggregated,abstract,superimposed,none
2012,"Riche, Nathalie Henry; Dwyer, Tim; Lee, Bongshin; Carpendale, Sheelagh",Exploring the Design Space of Interactive Link Curvature in Network Diagrams,Proceedings of the International Working Conference on Advanced Visual Interfaces,10.1145/2254556.2254652,riche2012,mapped,explicit,explicit,superimposed,interaction_technique
2014,"Robson, C; Harris, N; Barr, S; James, P",Dynamic Visualisation of Complex Spatial Infrastructure Networks,,,robson2014,mapped,explicit,aggregated,superimposed,optional
2018,"Romat, Hugo; Appert, Caroline; Bach, Benjamin; Henry-Riche, Nathalie; Pietriga, Emmanuel",Animated Edge Textures in Node-Link Diagrams: A Design Space and Initial Evaluation,Proceedings of the 2018 CHI Conference on Human Factors in Computing Systems,10.1145/3173574.3173761,romat2018,mapped,explicit,explicit,superimposed,none
2016,"Sadahiro, Yukio; Tanabe, Takahito; Pierre, Maxime; Fujii, Koichi",Computer-aided design of bus route maps,Cartography and Geographic Information Science,10.1080/15230406.2015.1077162,sadahiro2016,mapped,explicit,explicit,superimposed,none
2017,"Schulz, Christoph; Nocaj, Arlind; Goertler, Jochen; Deussen, Oliver; Brandes, Ulrik; Weiskopf, Daniel",Probabilistic Graph Layout for Uncertain Network Visualization,IEEE Transactions on Visualization and Computer Graphics,10.1109/TVCG.2016.2598919,schulz2017,distorted,explicit,explicit,superimposed,none
2011,"Selassie, D.; Heller, B.; Heer, J.",Divided Edge Bundling for Directional Network Data,IEEE Transactions on Visualization and Computer Graphics,10.1109/TVCG.2011.190,selassie2011,mapped,explicit,aggregated,superimposed,none
2010,"Speckmann, B; Verbeek, K",Necklace Maps,IEEE Transactions on Visualization and Computer Graphics,10.1109/TVCG.2010.180,speckmann2010,distorted,explicit,explicit,superimposed,none
2017,"Stephen, Daniel M.; Jenny, Bernhard",Automated layout of origin–destination flow maps: U.S. county-to-county migration 2009–2013,Journal of Maps,10.1080/17445647.2017.1313788,stephen2017,distorted,explicit,explicit,superimposed,none
2019,"Sun, Shipeng","A spatial one-to-many flow layout algorithm using triangulation, approximate Steiner trees, and path smoothing",Cartography and Geographic Information Science,10.1080/15230406.2018.1437359,sun2019,mapped,explicit,aggregated,superimposed,none
1987,"Tobler, Waldo R.",Experiments in migration mapping by computer,The American Cartographer,10.1559/152304087783875273,tobler1987,mapped,explicit,explicit,superimposed,none
2017,"Vrotsou, Katerina; Fuchs, Georg; Andrienko, Natalia; Andrienko, Gennady",An Interactive Approach for Exploration of Flows Through Direction-Based Filtering,Journal of Geovisualization and Spatial Analysis,10.1007/s41651-017-0001-7,vrotsou2017,mapped,explicit,explicit,superimposed,required
2011,"Wang, Y.; Chi, M.",Focus+Context Metro Maps,IEEE Transactions on Visualization and Computer Graphics,10.1109/TVCG.2011.205,wang2011,distorted,explicit,explicit,superimposed,interaction_technique
2003,"Wong, N.; Carpendale, S.; Greenberg, S.",Edgelens: an interactive method for managing edge congestion in graphs,IEEE Symposium on Information Visualization 2003 (IEEE Cat. No.03TH8714),10.1109/INFVIS.2003.1249008,wong2003,mapped,explicit,explicit,superimposed,interaction_technique
2007,"Wong, Nelson; Carpendale, Sheelagh",Supporting Interactive Graph Exploration Using Edge Plucking,Proceedings of IS&T/SPIE 19th Annual Symposium on Electronic Imaging: Visualization and Data Analysis,10.1.1.230.7985,wong2007,mapped,explicit,explicit,superimposed,interaction_technique
2010,"Wood, Jo; Dykes, Jason; Slingsby, Aidan","Visualisation of Origins, Destinations and Flows with OD Maps",The Cartographic Journal,10.1179/000870410X12658023467367,wood2010,distorted,aggregated,abstract,nested,none
2012,"Wu, Hsiang-Yun; Takahashi, Shigeo; Lin, Chun-Cheng; Yen, Hsu-Chun",Travel-Route-Centered Metro Map Layout and Annotation,Computer Graphics Forum,10.1111/j.1467-8659.2012.03085.x,wu2012,distorted,explicit,explicit,superimposed,required
2009,"Xiao, Ningchuan; Chun, Yongwan",Visualizing Migration Flows Using Kriskograms,Cartography and Geographic Information Science,10.1559/152304009788188763,xiao2009,abstract,explicit,explicit,integrated,none
2017,"Yang, Y.; Dwyer, T.; Goodwin, S.; Marriott, K.",Many-to-Many Geographically-Embedded Flow Visualisation: An Evaluation,IEEE Transactions on Visualization and Computer Graphics,10.1109/TVCG.2016.2598885,yang2017,mapped,explicit,explicit,juxtaposed,optional
2019,"Yang, Y.; Dwyer, T.; Jenny, B.; Marriott, K.; Cordeil, M.; Chen, H.",Origin-Destination Flow Maps in Immersive Environments,IEEE Transactions on Visualization and Computer Graphics,10.1109/TVCG.2018.2865192,yang2019,mapped,explicit,explicit,superimposed,required
2019,"Yao, Xin; Wu, Lun; Zhu, Di; Gao, Yong; Liu, Yu",Visualizing spatial interaction characteristics with direction-based pattern maps,Journal of Visualization,10.1007/s12650-018-00543-4,yao2019,mapped,abstract,abstract,superimposed,none
2016,"Zeng, W.; Fu, C.-W.; Arisona, S. Müller; Erath, A.; Qu, H.",Visualizing Waypoints-Constrained Origin-Destination Patterns for Massive Transportation Data,Computer Graphics Forum,10.1111/cgf.12778,zeng2016,mapped,explicit,explicit,juxtaposed,required
2018,"Zhang, Meng-Jia; Zhang, Kang; Li, Jie; Li, Yi-Na",Visual Exploration of 3D Geospatial Networks in a Virtual Reality Environment,The Computer Journal,10.1093/comjnl/bxx117,zhang2018,mapped,explicit,explicit,superimposed,required
2014,"Zhu, Xi; Guo, Diansheng",Mapping Large Spatial Flow Data with Hierarchical Clustering,Transactions in GIS,10.1111/tgis.12100,zhu2014,mapped,abstract,aggregated,superimposed,none
2016,"Zou, Lingbo",A Dynamic Approach for Visualizing Local and Global Information in Geo-spatial Network Visualizations,,,zou2016,distorted,explicit,explicit,superimposed,interaction_technique
